Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
FrankDijkstra4,FrankDijkstra4,,0,1289,1,1,2,1,2,3,17,0.10819,0.125541,12.916667,0.000015,0.001756,0.000164,0,0.001803,2
MichelvdHorst,MichelvdHorst,,0,1294,0,3,3,0,3,3,21,0.078923,0.094519,0,0,0.000173,0.000143,0,0,2
GozerOost,GozerOost,,0,636,3,0,3,8,0,8,0,0,0,0,0.002555,0,0.000221,0,0.00587,2
mayaVirg,mayaVirg,,0,1295,0,1,1,0,1,1,1,1,1,0,0,0.000603,0.000143,0,0,1
DirkSellsAHouse,DirkSellsAHouse,,0,1296,0,3,3,0,3,3,1,1,1,0,0,0.002252,0.000143,0,0,2
DrDre_010,DrDre_010,,0,634,4,6,10,10,6,16,13,0.15024,0.179581,37444.167351,0.010992,0.039824,0.000236,0.180556,0.012268,1
JohnSto21078732,JohnSto21078732,,0,606,1,1,2,1,1,2,1,1,1,0.5,0.001996,0.009801,0.000177,0,0.004225,1
jasper_wook,jasper_wook,,0,886,4,16,20,6,19,25,21,0.077384,0.102379,1164.116667,0.000616,0.064955,0.00024,0.007895,0.007212,1
ph1160,ph1160,,0,1300,0,7,7,0,14,14,16,0.11859,0.1423,0,0,0.03247,0.000143,0,0,1
shoppinggrrrl,shoppinggrrrl,,0,1302,0,2,2,0,2,2,1,1,1,0,0,0.000328,0.000143,0,0,2
Bouboutyassine,Bouboutyassine,,0,1301,1,0,1,1,0,1,0,0,0,0,0.000016,0,0.000204,0,0.001803,2
KaatvdK,KaatvdK,,0,1303,1,4,5,1,5,6,16,0.111243,0.121904,2062,0.000492,0.021657,0.00023,0.05,0.002264,1
HenkyD,HenkyD,,0,324,3,1,4,3,1,4,1,1,1,1,0.00289,0.009801,0.000282,0.166667,0.00837,1
Jeroen85181172,Jeroen85181172,,0,1304,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.001608,0.000143,0.5,0,1
Mandy90309607,Mandy90309607,,0,1024,2,2,4,2,2,4,1,1,1,0,0.003817,0.000656,0.000258,0.5,0.004656,3
nananouvelle,nananouvelle,,0,1024,2,2,4,2,2,4,1,1,1,0,0.003817,0.000656,0.000258,0.5,0.004656,3
Myriam_Heyens,Myriam_Heyens,,0,202,11,0,11,14,0,14,0,0,0,0,0.009274,0,0.000678,0.036364,0.024811,3
pm310183,pm310183,,0,1305,0,2,2,0,2,2,18,0.099778,0.118685,0,0,0.007551,0.000143,0.5,0,2
SanderGrootDe,SanderGrootDe,,0,978,3,15,18,3,23,26,19,0.089146,0.111173,238.141667,0.000299,0.06364,0.00023,0.003268,0.005409,1
alexmeuwsen,alexmeuwsen,,0,656,2,12,14,3,17,20,20,0.085508,0.117075,2535.554762,0.002229,0.05985,0.000272,0.038462,0.006765,1
josverstegen,josverstegen,,0,655,1,1,2,1,1,2,1,1,1,0,0.003,0.000216,0.000163,0.5,0.003107,2
a_vermeij,a_vermeij,,0,1306,0,2,2,0,2,2,16,0.118382,0.132687,0,0,0.00035,0.000143,0,0,2
HereJodie,HereJodie,,0,1307,0,6,6,0,6,6,2,0.875,0.928571,0,0,0.005626,0.000143,0,0,1
Gerben98551608,Gerben98551608,,0,1308,0,2,2,0,2,2,1,1,1,0,0,0.009891,0.000143,0,0,2
john_konijn,john_konijn,,0,1309,0,2,2,0,2,2,18,0.098617,0.116653,0,0,0.000171,0.000143,0,0,2
serveechay,serveechay,,0,350,1,1,2,10,1,11,1,1,1,1293,0.003391,0.000002,0.00016,0,0.007856,3
DeGrauwEeuw,DeGrauwEeuw,,0,469,5,0,5,5,0,5,0,0,0,0,0.003485,0,0.000403,0,0.01168,1
KasEist,KasEist,,0,1310,0,3,3,0,3,3,1,1,1,0,0,0.00207,0.000143,0,0,3
trrblkid,trrblkid,,0,1311,0,1,1,0,1,1,17,0.101773,0.110673,0,0,0.002082,0.000143,0,0,2
coronaatje,coronaatje,,0,1312,0,1,1,0,1,1,1,1,1,0,0,0.000289,0.000143,0,0,2
blauweblokhuis,blauweblokhuis,,0,1316,0,7,7,0,7,7,18,0.101004,0.124101,0,0,0.050654,0.000143,0.047619,0,3
SPVeenendaal,SPVeenendaal,,0,1318,0,3,3,0,3,3,1,1,1,0,0,0.00581,0.000143,0,0,1
sepiatekst,sepiatekst,,0,1317,2,0,2,2,0,2,0,0,0,0,0.00229,0,0.000202,0,0.003606,1
VrijeMeinung,VrijeMeinung,,0,1320,1,4,5,1,4,5,17,0.107458,0.125534,0,0.001094,0.006601,0.000159,0.25,0.002795,1
Eucalyptica,Eucalyptica,,0,1320,2,11,13,2,13,15,16,0.120339,0.149098,1098.142857,0.00052,0.021819,0.000202,0.022727,0.00419,1
bij1,bij1,,0,1319,2,0,2,2,0,2,0,0,0,0,0.001424,0,0.000193,1,0.005181,1
0Frah5,0Frah5,,0,634,2,1,3,2,1,3,14,0.135558,0.162336,1021,0.002979,0.000287,0.000178,0,0.010975,2
Fan_haar_mening,Fan_haar_mening,,0,1321,0,1,1,0,1,1,1,1,1,0,0,0.000006,0.000143,0,0,2
GisolfBini,GisolfBini,,0,1322,1,1,2,1,1,2,1,1,1,2,0.000013,0.000012,0.000196,0,0.002328,3
GBeerdsen,GBeerdsen,,0,634,2,2,4,2,2,4,24,0.062946,0.0725,36.833333,0.002302,0.001882,0.00023,0.166667,0.007982,1
Paulitos4,Paulitos4,,0,812,1,5,6,2,5,7,2,0.857143,0.916667,6,0.000491,0.017116,0.000174,0,0.001803,2
EvaReports,EvaReports,,0,645,2,0,2,3,0,3,0,0,0,0,0.000492,0,0.00031,0,0.004201,2
TheDawn3121,TheDawn3121,,0,634,3,2,5,4,2,6,21,0.076524,0.089127,370.47381,0.004652,0.00257,0.000233,0,0.007388,4
cpt_caveman_nl,cpt_caveman_nl,,0,634,1,5,6,1,5,6,19,0.088077,0.103041,12,0.000028,0.006632,0.000184,0.1,0.003684,4
DuMonde88,DuMonde88,,0,1323,0,3,3,0,3,3,1,1,1,0,0,0.000315,0.000143,0.333333,0,2
MarijkeDWR,MarijkeDWR,,0,1045,4,2,6,4,2,6,1,1,1,6,0.001914,0.000219,0.000294,0.2,0.007796,2
BRijnsburg,BRijnsburg,,0,1044,4,0,4,4,0,4,0,0,0,0,0.000058,0,0.00039,0.25,0.009126,2
annajillis,annajillis,,0,634,2,4,6,2,5,7,17,0.108495,0.129034,302.752489,0.000991,0.018885,0.000165,0.033333,0.005156,2
HighwaymanNH,HighwaymanNH,,0,1326,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.000085,0.000143,0.5,0,0
Kortom_Tom,Kortom_Tom,,0,1325,2,2,4,2,6,8,1,1,1,2,0.000009,0.000531,0.000265,0.166667,0.003606,0
kromst,kromst,,0,1324,7,0,7,9,0,9,0,0,0,0,0.001689,0,0.000574,0.047619,0.015119,0
KatNL,KatNL,,0,1337,0,17,17,0,17,17,13,0.178584,0.224773,0,0,0.001189,0.000143,0,0,1
ThijsoohRustig,ThijsoohRustig,,0,1336,1,1,2,1,1,2,1,1,1,0.111111,0.00006,0.009801,0.000151,0,0.001803,1
marinavberlo,marinavberlo,,0,1335,1,3,4,1,3,4,20,0.082653,0.099458,46.194444,0.00006,0.042121,0.000151,0.166667,0.001803,1
Kerel0,Kerel0,,0,1339,0,9,9,0,9,9,20,0.083266,0.106981,0,0,0.075601,0.000143,0.069444,0,1
Klaas81589227,Klaas81589227,,0,1343,0,3,3,0,3,3,3,0.529412,0.62963,0,0,0,0.000143,0,0,2
Huis115,Huis115,,0,1342,1,2,3,1,2,3,2,0.75,0.833333,2.333333,0,0.001219,0.000184,0,0.001803,2
Vrijheidsvogel,Vrijheidsvogel,,0,1334,1,3,4,1,3,4,1,1,1,0.777778,0.00006,0.014803,0.000151,0,0.001803,2
Mark12358141692,Mark12358141692,,0,1344,0,4,4,0,4,4,16,0.118071,0.132384,0,0,0.011523,0.000143,0.083333,0,3
hebawi,hebawi,,0,598,2,0,2,3,0,3,0,0,0,0,0.001376,0,0.000198,0,0.004781,3
Deon10000,Deon10000,,0,1345,2,4,6,2,4,6,16,0.119954,0.144349,2062.5,0.0002,0.003128,0.000245,0.033333,0.003606,3
raymtwit,raymtwit,,0,1346,0,2,2,0,2,2,20,0.081809,0.091013,0,0,0.028004,0.000143,0,0,2
destedendwinger,destedendwinger,,0,782,1,2,3,6,4,10,17,0.107209,0.126909,0,0.000018,0.000001,0.000197,0.5,0.00518,2
r_siebum,r_siebum,,0,634,3,4,7,3,5,8,17,0.108643,0.128757,3150.736111,0.000073,0.01281,0.000249,0,0.006959,2
patriciakooreva,patriciakooreva,,0,590,2,2,4,2,3,5,2,0.666667,0.75,570.128571,0.00079,0.006515,0.000257,0,0.005179,2
vvreverts,vvreverts,,0,1347,1,6,7,3,7,10,16,0.112002,0.126911,1029,0.000274,0.007195,0.000168,0.119048,0.001803,2
vgwhz,vgwhz,,0,1333,1,3,4,1,3,4,2,0.6,0.666667,3.361111,0.00006,0.020248,0.000151,0,0.001803,1
johotilburg,johotilburg,,0,1348,0,2,2,0,2,2,1,1,1,0,0,0.002215,0.000143,0,0,3
RaymondBartens,RaymondBartens,,0,634,2,3,5,2,3,5,15,0.124307,0.141518,17741.316434,0.003874,0.00851,0.000185,0,0.012073,2
Peter26061980,Peter26061980,,0,705,3,3,6,3,3,6,2,0.8,0.875,19,0.002905,0.000227,0.000559,0.166667,0.010806,0
