Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
lajeninaja1,lajeninaja1,,0,2989,0,3,3,0,3,3,1,1,1,0,0,0.003809,4,0.000113,0,0
SigridKaag,SigridKaag,,0,863,3,0,3,3,0,3,0,0,0,0,0.005391,0,4,0.000162,0,0.006221
OpaMetal,OpaMetal,,0,2990,0,3,3,0,3,3,1,1,1,0,0,0.005208,4,0.000113,0,0
Zorba68,Zorba68,,0,2431,3,0,3,3,0,3,0,0,0,0,0.000228,0,0,0.000181,0,0.006221
YvonnedeVries4,YvonnedeVries4,,0,2991,1,1,2,1,1,2,1,1,1,1,0.000655,0.003536,0,0.000161,0,0.001911
Michel1401,Michel1401,,0,2992,2,1,3,2,1,3,19,0.134755,0.171023,1374,0.000277,0.00025,1,0.000223,0,0.003822
richardflaton,richardflaton,,0,194,1,0,1,1,0,1,0,0,0,0,0.001217,0,5,0.000121,0,0.003907
SandervanBetten,SandervanBetten,,0,193,1,0,1,1,0,1,0,0,0,0,0.001217,0,5,0.000121,0,0.003907
MartinKarindeHa,MartinKarindeHa,,0,2993,0,1,1,0,1,1,1,1,1,0,0,0.000355,4,0.000113,0,0
DerkVanTongeren,DerkVanTongeren,,0,2998,0,6,6,0,7,7,1,1,1,0,0,0.006208,0,0.000113,0,0
GemZaanstad,GemZaanstad,,0,2997,1,0,1,2,0,2,0,0,0,0,0.000305,0,0,0.000129,0,0.001911
Tweetszzzz,Tweetszzzz,,0,2999,0,3,3,0,3,3,22,0.116933,0.158551,0,0,0.031379,1,0.000113,0.666667,0
TheWhiteWolves5,TheWhiteWolves5,,0,2900,1,2,3,1,2,3,23,0.067446,0.07931,0,0.000214,0.003555,0,0.000121,0.333333,0.001911
IckxsI,IckxsI,,0,2899,2,2,4,2,6,8,22,0.072132,0.087128,1341,0.000389,0.053358,1,0.000172,0.166667,0.00431
Daniel61870110,Daniel61870110,,0,3000,0,2,2,0,2,2,1,1,1,0,0,0.007221,0,0.000113,0,0
bertisbert,bertisbert,,0,3001,0,2,2,0,2,2,23,0.094147,0.11186,0,0,0.0066,4,0.000113,0,0
Genderongelijk1,Genderongelijk1,,0,3002,0,1,1,0,1,1,1,1,1,0,0,0.006854,0,0.000113,0,0
XperienceIS,XperienceIS,,0,3007,0,7,7,0,9,9,15,0.133047,0.160349,0,0,0.003829,1,0.000113,0,0
