index,tweet_id,username,text,tweet_source,tweet_source_link,rt_count,fav_count,clean_text
12021,1467177004248227844,birdyharry,RT @JansensAdriaan: Volendam verjaagt de anti-blanke terroristen van KOZP https://t.co/VOf6tYAcHK via @DissidentNL,Twitter for Android,http://twitter.com/download/android,3,0,"['volendam', 'verjaagt', 'anti', 'blanke', 'terroristen', 'kozp', 'via']"
12030,1467176852603162624,Ernestmaas55,"RT @Christhel_MA: Ik wens jullie allemaal een heel mooi Sinterklaasfeest toe. Heb ondanks alle ellende veroorzaakt door Jut &amp; Jul, toch hee…",Twitter Web App,https://mobile.twitter.com,2,0,"['wens', 'jullie', 'allemaal', 'heel', 'mooi', 'sinterklaasfeest', 'toe', 'ondanks', 'alle', 'ellende', 'veroorzaakt', 'jut', 'amp', 'jul', 'hee']"
12084,1467176269771124739,EmmaLente,RT @RicardoFreedom1: #HugodeQRankzinnige #Joden #NoGreenPass  #PassSanitaire  #Tribunaal #iksteundoutzen #HugodeJongeStaptop #Utrecht4Decem…,Twitter for Android,http://twitter.com/download/android,2,0,"['hugodeqrankzinnige', 'joden', 'nogreenpass', 'passsanitaire', 'tribunaal', 'iksteundoutzen', 'hugodejongestaptop', 'utrecht4decem']"
12100,1467176039101124616,AvKoningsveld,"RT @RvanKoningsveld: Waar zou ú het liefst wonen?

#volendam #kozp",Twitter for Android,http://twitter.com/download/android,1,0,"['waar', 'liefst', 'wonen', 'volendam', 'kozp']"
12110,1467175941218742277,Gekkenlopenbui1,"RT @Koos24Koos: Als je op de markt in een #pvv bolwerk tegen zwarte Piet gaat demonstreren dan kan je een reactie verwachten toch?

Dat was…",Twitter for Android,http://twitter.com/download/android,1,0,"['markt', 'pvv', 'bolwerk', 'zwarte', 'piet', 'gaat', 'demonstreren', 'reactie', 'verwachten']"
12147,1467175573457940480,Erikpiloot,RT @AntiVolgers: #volendam #kozp https://t.co/AKhDAmvCDM,Twitter for iPhone,http://twitter.com/download/iphone,2,0,"['volendam', 'kozp']"
12148,1467175544664043529,myriam_der,"RT @JustSeeForMe: Zo, weer een jaartje subsidie binnen.
#kozp 
#Volendam",Twitter for Android,http://twitter.com/download/android,1,0,"['weer', 'jaartje', 'subsidie', 'binnen', 'kozp', 'volendam']"
12151,1467175503928958986,Gekkenlopenbui1,"RT @Edwinhooi1: @AnnemarieGelder @telegraaf Trotse Volendammers ! 

Die laten zich niet kisten ! 

Nederlanders wordt wakker.

#Volendam 
#…",Twitter for Android,http://twitter.com/download/android,2,0,"['trotse', 'volendammers', 'laten', 'kisten', 'nederlanders', 'wakker', 'volendam']"
12153,1467175490347847680,Gekkenlopenbui1,RT @Richard53219697: Tuig van #kozp met pek en veren uit Volendam!😂😂,Twitter for Android,http://twitter.com/download/android,3,0,"['tuig', 'kozp', 'pek', 'veren', 'volendam']"
12168,1467175265604354050,pxf7schaak,RT @SchefferlieJos: @FeyeNody @Undertaker20223 @TheRebelThePoet Volgens TeleText stelt een marktkoopman dat de KOZP betogers zelf zijn bego…,Twitter Web App,https://mobile.twitter.com,2,0,"['volgens', 'teletext', 'stelt', 'marktkoopman', 'kozp', 'betogers', 'bego']"
12253,1467174342102601735,KatNL,"RT @nl75: @FeyeNody @TheRebelThePoet wat een sneue vertoning van die #kozp
die moeder met kinderwagen. wat een held!",Twitter for Android,http://twitter.com/download/android,1,0,"['sneue', 'vertoning', 'kozp', 'moeder', 'kinderwagen', 'held']"
12264,1467174227061403648,KatNL,RT @Garrincha777: @FeyeNody @TheRebelThePoet Vol erop rammen. Er word al veel te lang naar de pijpen gedanst van dit subsidieslupers. Zoude…,Twitter for Android,http://twitter.com/download/android,1,0,"['vol', 'erop', 'rammen', 'word', 'lang', 'pijpen', 'gedanst', 'subsidieslupers', 'zoude']"
12280,1467174071284731910,KeizerRk,"RT @DinieStrijker: @LightLucieFall Natuurlijk hoop ik dat het tij eens keert, maar ik zie het voorlopig nog niet gebeuren. Een radicale min…",Twitter Web App,https://mobile.twitter.com,2,0,"['natuurlijk', 'hoop', 'tij', 'keert', 'zie', 'voorlopig', 'gebeuren', 'radicale', 'min']"
12296,1467173969098944519,jan43576803,RT @Alpina72712763: @AnnemarieGelder @telegraaf Heerlijk avondje  voor die kozp racisten,Twitter Web App,https://mobile.twitter.com,1,0,"['heerlijk', 'avondje', 'kozp', 'racisten']"
12303,1467173908420132865,diabetescheck,RT @diabetescheck: racists from the #kozp should be jailed  and pay 100000 euro per racist for the damage they caused with their agressive…,Twitter Web App,https://mobile.twitter.com,1,0,"['racists', 'from', 'the', 'kozp', 'should', 'be', 'jailed', 'and', 'pay', '100000', 'euro', 'per', 'racist', 'for', 'the', 'damage', 'they', 'caused', 'with', 'their', 'agressive']"
12311,1467173780971827207,Aquarius4422,RT @AsjeBello: Dit is toch echt geweldig ieder dorp wat ze aandoen uitjagen deze #racisten van #kozp retour #Ghana,Twitter Web App,https://mobile.twitter.com,3,0,"['echt', 'geweldig', 'ieder', 'dorp', 'aandoen', 'uitjagen', 'racisten', 'kozp', 'retour', 'ghana']"
12314,1467173759761141761,Elisabethmary70,"RT @Jarno133: Het Volendams ontzet... vanaf nu ieder jaar op 4 december massaal oliebollen eten daar! 😂
#volendam #kozp #tuig",Twitter for iPhone,http://twitter.com/download/iphone,4,0,"['volendams', 'ontzet', 'vanaf', 'ieder', 'jaar', '4', 'december', 'massaal', 'oliebollen', 'eten', 'volendam', 'kozp', 'tuig']"
12322,1467173695168737284,KatNL,"RT @dunhelmonder: @FeyeNody @McDonald_69 @TheRebelThePoet 'Weg met #zwartePiet'📣
Hij heeft wel een arsenaal aan woorden die aangeklede scho…",Twitter for Android,http://twitter.com/download/android,1,0,"['weg', 'zwartepiet', 'wel', 'arsenaal', 'woorden', 'aangeklede', 'scho']"
