clean_text_string,modularity_class
boeit anderen kwetsen lekker boeiuh kozp komt demonstreren daarentegen respectloos mensen vvmu respect uitkomt regels gelden anderen moeten stootje,2
nl ers eindelijk wakker pikken shit kozp subsidie tiet hangende jerry a,2
nou kozp zie alleen blanken jaarlijks dagje ggz,2
terwijl we utrecht transwijk liefdevolle ongemaskerde protestmars vrijheid liepen kennelijk volend,2
kozp volendam uitgekickt natuurlijk voorspellen afriyie akwasi vriendjes zullen weer,2
betaalde george soros haatzaai demonstranten kozp volendam geweten,2
jerry airfryer moe kozp,2
hahahahaha schulp gekropen weer selectief verontwaardigd zwartepiet kopz,2
aanval volendammers kozp,4
interessant politie ingreep terwijl activisten kozp heel vaak geweld politie verwijderd,4
media politiek allemaal trekpoppen terroristische troep kozp d66 groenlinks vvd soumaya sahla buitenhof,3
kozp jongens we gaan volendam demonstreren eitje,3
wappie airfryer kozp samen silvana room witte linkse wappies oude mensen markt lastig vallen vergunning aanval ouderen onschuldige mensen mening,3
zeg versta megafoon gezicht loopt schreeuwen zoals kozp doet,2
megafoon recht gezicht toeschreeuwen aktie geweld mocht overkomen trap kruis onklaar maken megafoon minste hoezo racistisch 99 blanke kozp personen,2
tuig kozp aanhangers,2
inderdaad vooruitgang geboekt zelfs nieuwe traditie ontstaan verwelkomen kozp oliebollen eieren vis lekkernijen zoet krijgt lekkers,2
nieuwe traditie geboren overal waar kozp opdraagt megafoons stijgt verkoop eieren oliebollen,2
mooie nieuwe traditie ontstaan overal waar kozp verschijnt verkoop eieren oliebollen flink toenemen,2
gaan juridische stappen zetten lees hoop tegelijkertijd allemaal opg,2
zwarte piet blijkt helemaal zwart zwartepiet,2
artistieke vrijheid lolwut oh wee mensen zeggen verder kozp,2
zonde oliebollen kozp,2
angstwekkend intimiderend demonstreren kozp,2
gewone mensen genoeg agressieve intimidatie kozp,2
leuke tijd spannend zwartepiet,2
medelijden zieke provocateurs kozp erop kinderfeest verpesten andersdenkenden intimideren,2
stop provocerende intimiderende kozp demonstreren maken trek subsidie,2
aangevallen eerder kozp aanvalt onuitgenodigd verbaal geweld intimidatie kinderfeest verstieren volendammers gewoon verdedigd tuig,2
ergste n gewelddadige provocerende bende kozp gesubsidieerd belastinggeld woke partijen uiteraard d66 vvd cda,2
kozp provocateurs beschermd d66 groenlinks,2
verpesters kinderfeest verjaagd volendammers mensen krijgen steeds hekel gewelddadige drammers kozp,2
kozp stelletje gewelddadige provocateurs gesubsidieerde verpesters kinderfeest gesteund d66 kliek justitie aanvaring volendam tussen tegenstanders zwarte piet trouw,2
steeds mensen krijgen godsgruwelijke hekel aggressieve drammers kozp lui beschermd d66 groenlinks geweld dna figuren,2
